Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Billy,Smith,3746 W south street,huston,tx,77001,9685740329860321,07,19,975
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
Aaron,Fonseca,1234 W main street,phoenix,az,85353,9574638473217564,04,18,847
